scenario,strategy,seed,exp_id,avg_waiting_s,avg_travel_time_s,throughput_veh,avg_queue_veh,max_queue_veh,avg_speed_mps,teleports,base_state,base_state_sha1,model_sha1,run_key
morning_peak,dqn,2,morning_peak__dqn__s2,26.692077727952167,91.40582959641256,1338.0,20.279444444444444,40.0,4.490421801213226,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,ad4cff2c837fa927,96d326c2eb8e486c
morning_peak,fixed,0,morning_peak__fixed__s0,50.44370308590492,94.65304420350292,1199.0,38.80888888888889,68.0,5.215199638746935,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,abf239c709bfec73
morning_peak,fixed,1,morning_peak__fixed__s1,51.6750208855472,96.64745196324144,1197.0,38.303333333333335,67.0,5.278801184187824,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,83db11f4180ff209
morning_peak,fixed,2,morning_peak__fixed__s2,50.51599326599327,94.80555555555556,1188.0,38.132222222222225,67.0,5.261981657932043,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,f2ababa48756df51
morning_peak,ppo,0,morning_peak__ppo__s0,24.7973174366617,90.81967213114754,1342.0,18.759444444444444,36.0,4.548661356339146,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,1fbe8b47997f4b74,292b786c884de833
morning_peak,ppo,1,morning_peak__ppo__s1,26.5609756097561,93.0594512195122,1312.0,19.501666666666665,40.0,4.543302138543402,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,1fbe8b47997f4b74,57cb73fc27446e7e
morning_peak,ppo,2,morning_peak__ppo__s2,26.119029567854437,92.59287338893101,1319.0,19.315,37.0,4.490662059710987,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,1fbe8b47997f4b74,f81c7cfd3136449f
normal,actuated,0,normal__actuated__s0,36.47612259444048,76.70420527441198,1403.0,32.97222222222222,63.0,6.553903060687566,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,48c35a38c25d7aad
normal,actuated,1,normal__actuated__s1,41.96895306859206,83.12707581227437,1385.0,36.227222222222224,63.0,6.154428746238129,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,443f1a527d175973
normal,actuated,2,normal__actuated__s2,42.94835007173601,84.19081779053084,1394.0,35.99444444444445,64.0,6.086204640663147,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,3b62039b058f115f
normal,dqn,0,normal__dqn__s0,26.673484848484847,92.97651515151514,1320.0,19.716666666666665,38.0,4.364787261123944,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,ad4cff2c837fa927,36a1b9c785d5238f
normal,dqn,1,normal__dqn__s1,26.74527588813303,92.53212396069539,1323.0,19.834444444444443,38.0,4.428851173221466,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,ad4cff2c837fa927,f013ef562bea26c8
normal,dqn,2,normal__dqn__s2,27.712962962962962,94.16975308641975,1296.0,20.06222222222222,39.0,4.414341259169083,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,ad4cff2c837fa927,72bc0cbeaa074549
normal,fixed,0,normal__fixed__s0,52.30113141862489,97.30722367275892,1149.0,38.181111111111115,66.0,5.193266062626875,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,de96ef08f847fd66
normal,fixed,1,normal__fixed__s1,53.71810344827586,98.48103448275862,1160.0,38.24388888888889,69.0,5.1961415009421295,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,36ccec0598b61aa6
normal,fixed,2,normal__fixed__s2,52.59931798806479,97.71611253196932,1173.0,37.60111111111111,67.0,5.131502795987884,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,,a149362f2794419b
normal,ppo,0,normal__ppo__s0,26.49611197511664,93.86858475894246,1286.0,19.033333333333335,37.0,4.4121256231314,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,1fbe8b47997f4b74,9ddeb219ce16b706
normal,ppo,1,normal__ppo__s1,25.816295157571098,92.01921598770177,1301.0,18.88,40.0,4.518833778168839,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,1fbe8b47997f4b74,b70dae6cdc4cb7c2
normal,ppo,2,normal__ppo__s2,28.326383319967924,96.48516439454691,1247.0,19.909444444444443,39.0,4.35794851430533,0.0,data\traffic_states\demo_001.json,73f107e7e250cdb7,1fbe8b47997f4b74,df05e8457c11b34a
